frame,count
1071,7
1072,7
1073,9
1074,9
1075,8
1076,9
1077,7
1078,6
1079,7
1080,6
1081,9
1082,9
1083,8
1084,9
1085,9
1086,7
1087,8
1088,10
1089,9
1090,11
1091,10
1092,9
1093,10
1094,10
1095,8
1096,9
1097,8
1098,7
1099,9
1100,10
1101,8
1102,8
1103,9
1104,7
1105,7
1106,7
1107,7
1108,7
1109,7
1110,6
1111,7
1112,6
1113,7
1114,9
1115,7
1116,8
1117,11
1118,9
1119,9
1120,10
1121,9
1122,9
1123,10
1124,12
1125,12
1126,13
1127,11
1128,11
1129,11
1130,10
1131,10
1132,10
1133,10
1134,11
1135,12
1136,12
1137,13
1138,14
1139,14
1140,11
1141,10
1142,11
1143,11
1144,12
1145,11
1146,11
1147,10
1148,10
1149,10
1150,9
1151,7
1152,6
1153,6
1154,6
1155,9
1156,7
1157,7
1158,9
1159,10
1160,10
1161,9
1162,7
1163,9
1164,9
1165,11
1166,12
1167,9
1168,9
1169,9
1170,10
1171,11
1172,13
1173,12
1174,11
1175,11
1176,11
1177,12
1178,9
1179,12
1180,12
1181,10
1182,12
1183,14
1184,12
1185,15
1186,14
1187,15
1188,13
1189,12
1190,13
1191,12
1192,11
1193,11
1194,12
1195,12
1196,11
1197,13
1198,12
1199,13
1200,14
1201,13
1202,13
1203,13
1204,13
1205,10
1206,12
1207,13
1208,11
1209,10
1210,13
1211,12
1212,11
1213,9
1214,9
1215,11
1216,8
1217,12
1218,12
1219,10
1220,10
1221,11
1222,10
1223,10
1224,11
1225,11
1226,14
1227,14
1228,12
1229,12
1230,12
1231,12
1232,14
1233,16
1234,17
1235,18
1236,14
1237,13
1238,12
1239,14
1240,11
1241,12
1242,12
1243,12
1244,13
1245,11
1246,13
1247,15
1248,12
1249,12
1250,12
1251,10
1252,10
1253,10
1254,9
1255,9
1256,9
1257,12
1258,11
1259,11
1260,12
1261,11
1262,11
1263,12
1264,14
1265,13
1266,9
1267,10
1268,8
1269,8
1270,8
1271,9
1272,8
1273,10
1274,8
1275,8
1276,9
1277,9
1278,7
1279,10
1280,9
1281,11
1282,9
1283,9
1284,13
1285,12
1286,12
1287,12
1288,10
1289,12
1290,12
1291,12
1292,11
1293,12
1294,11
1295,11
1296,13
1297,11
1298,10
1299,11
1300,10
1301,12
1302,11
1303,8
1304,8
1305,8
1306,11
1307,12
1308,13
1309,13
1310,14
1311,12
1312,11
1313,12
1314,12
1315,14
1316,11
1317,9
1318,11
1319,10
1320,11
1321,12
1322,11
1323,10
1324,11
1325,9
1326,10
1327,11
1328,12
1329,11
1330,11
1331,11
1332,11
1333,10
1334,11
1335,13
1336,9
1337,10
1338,8
1339,9
1340,9
1341,11
1342,10
1343,11
1344,12
1345,11
1346,12
1347,9
1348,9
1349,6
1350,11
1351,11
1352,10
1353,12
1354,12
1355,12
1356,12
1357,10
1358,11
1359,10
1360,10
1361,9
1362,9
1363,6
1364,8
1365,8
1366,8
1367,9
1368,9
1369,9
1370,7
1371,7
1372,10
1373,12
1374,8
1375,10
1376,11
1377,12
1378,12
1379,10
1380,8
